A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Officials say at least 49 people were killed and dozens were injured in the shooting.
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'
A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Officials say at least 49 people were killed and dozens were injured in the shooting.
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'
Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'
Officials say at least 49 people were killed and dozens were injured in the shooting.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.
Officials say at least 49 people were killed and dozens were injured in the shooting.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.
Officials say at least 49 people were killed and dozens were injured in the shooting.	Officials say at least 49 people were killed and dozens were injured in the shooting.
Officials say at least 49 people were killed and dozens were injured in the shooting.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.
Officials say at least 49 people were killed and dozens were injured in the shooting.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.
Officials say at least 49 people were killed and dozens were injured in the shooting.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'
Officials say at least 49 people were killed and dozens were injured in the shooting.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'
Officials say at least 49 people were killed and dozens were injured in the shooting.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'
Officials say at least 49 people were killed and dozens were injured in the shooting.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'
Officials say at least 49 people were killed and dozens were injured in the shooting.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'
Officials say at least 49 people were killed and dozens were injured in the shooting.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Officials say at least 49 people were killed and dozens were injured in the shooting.
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'
A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Officials say at least 49 people were killed and dozens were injured in the shooting.
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'
At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'
Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.
Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.
